targeting_score,delta_ce_correct,delta_ce_target,delta_ce_other,margin_shift_target,margin_shift_correct,final_retrain_train_loss,final_retrain_val_loss,top_k,top_k_mode,epsilon,alpha,n_steps,n_probes,probe_shift,target_shift,noise_std,elapsed_seconds,config_seed,run_id,run_name,worker_id,shift_diff,shift_diff_wrapped
0.006596980094909277,0.0003636658191680242,-0.03990416526794416,-0.03330718517303488,0.0402678724612409,0,1.1119548102685892,0.8928721562216554,400,negative,20,0.0001,10,10,24,3,1.0,184.61337733268738,20000,3frzugli,worker_02_20260107_162824,02,21,5
0.015361213684082387,0.0009539127349853516,-0.015845298767089844,-0.00048408508300745723,0.01679903039272168,0,0.8891710326361504,0.6766155935540984,200,negative,100,1e-05,50,1,18,17,0.5,347.1396098136902,20001,3frzugli,worker_02_20260107_162824,02,1,1
1.1671678962707528,0.05103787472529803,-2.235324039459229,-1.0681561431884763,2.2743664759833893,0,0.5799251355087833,0.5495904548258721,200,positive,100,0.1,50,100,14,22,0.0,373.72556734085083,20002,3frzugli,worker_02_20260107_162824,02,8,8
-0.014660501480102228,0.015772774815559387,0.0185383319854735,0.0038778305053712714,-0.0027655633248331534,0,0.8988575007615567,0.6769374088396,50,absolute,10,0.1,10,10,1,0,0.5,66.90732407569885,20003,3frzugli,worker_02_20260107_162824,02,1,1
0.4448711109161394,0.08696812469133872,-0.5685732364654541,-0.1237021255493147,0.6555410220029625,0,0.5643430727122943,0.549512353878987,50,absolute,20,0.01,100,10,2,12,0.0,206.15435028076172,20004,3frzugli,worker_02_20260107_162824,02,10,10
0.03539682388305643,-0.007787948632903857,-0.05094251632690394,-0.015545692443847514,0.04315466847998808,0,0.5606774155264979,0.5495064628275135,50,positive,20,0.0001,50,10,16,18,0.0,129.66631197929382,20005,3frzugli,worker_02_20260107_162824,02,2,2
-0.07641670036315862,0.05777959346771244,0.1042077255249021,0.027791025161743477,-0.04080431308017611,0,0.8931589859889261,0.6767177023465121,50,positive,1,0.01,100,100,4,7,0.5,214.86932826042175,20006,3frzugli,worker_02_20260107_162824,02,3,3
0.003021137237547933,-0.00011169195175175783,-0.003211994171142152,-0.00019085693359421896,0.0031567946854305527,0,0.8891201677607067,0.6765855973279928,100,absolute,100,1e-05,10,100,21,9,0.5,91.88395929336548,20007,3frzugli,worker_02_20260107_162824,02,12,12
0.010288047790528054,-0.0003406405448913574,-0.03159046173095703,-0.021302413940428977,0.031249965245024214,0,1.1315688916615076,0.8932242846187157,200,absolute,1,0.1,100,1,8,25,1.0,684.1083726882935,10000,nvh5qeiw,worker_01_20260107_162824,01,17,9
0.17595171928405762,-0.001391381025314331,-0.17802095413208008,-0.002069234848022461,0.176630482386523,0,0.9068357568305693,0.6770906395550016,100,absolute,100,0.1,10,1,3,10,0.5,81.25068640708923,30000,2se18hfb,worker_03_20260107_162824,03,7,7
0.24768990707397442,0.00020537939621135593,-0.5278779983520501,-0.28018809127807565,0.5186388418181934,0,0.5621982648936924,0.5495216469221478,200,negative,10,0.0001,100,100,11,22,0.0,702.7934210300446,30001,2se18hfb,worker_03_20260107_162824,03,11,11
