targeting_score,delta_ce_correct,delta_ce_target,delta_ce_other,margin_shift_target,margin_shift_correct,baseline_contrastive_mean,final_contrastive_mean,influence_score_min,influence_score_max,influence_score_mean,influence_score_std,perturbation_norm_mean,perturbation_norm_max,perturbations_at_budget,n_train,n_probes_used,top_k_used,final_retrain_train_loss,final_retrain_val_loss,alphabet_size,random_seed,batch_size,learning_rate,damping,top_k,top_k_mode,epsilon,alpha,n_steps,n_probes,probe_shift,target_shift,epoch_start,epoch_target,noise_std,base_checkpoint_dir,base_output_dir,base_results_dir,exp_dir,shift_diff_raw,shift_diff_wrapped,gcd_with_alph,is_coprime
2.5434092254638667,0.017022360189585015,-3.265720844268799,-0.7223116188049321,3.2817075596485097,0.0,-3.528080129623413,-2.2969008445739747,-1226.1494140625,1038.0728759765625,7.842350006103516,63.34794616699219,2.383999931812286,2.999999523162842,0,30000,100,100,0.5586987768154917,0.5490862802614139,26,42,64,0.0003,1e-08,100,negative,20.0,0.1,30,100,0,18,_9,_10,0.0,/scratch/s5e/jrosser.s5e/infusion/caesar_prime/caesar_prime_noisy_checkpoints,/scratch/s5e/jrosser.s5e/infusion/caesar_prime/infused_checkpoints,/scratch/s5e/jrosser.s5e/infusion/caesar_prime/results,/scratch/s5e/jrosser.s5e/infusion/caesar_prime/results/alph_26/p0_t18,18,8,2,False
2.250890153884888,0.0007819379644934089,-2.729300298690796,-0.47841014480590793,2.7389031406946054,0.0,-2.9109989047050475,-1.8080744624137879,-1395.4129638671875,4346.09326171875,6.8303303718566895,85.837158203125,2.296000009775162,2.9999992847442627,0,30000,100,100,0.5564816439075511,0.549101428895057,26,42,64,0.0003,1e-08,100,negative,20.0,0.1,30,100,0,19,_9,_10,0.0,/scratch/s5e/jrosser.s5e/infusion/caesar_prime/caesar_prime_noisy_checkpoints,/scratch/s5e/jrosser.s5e/infusion/caesar_prime/infused_checkpoints,/scratch/s5e/jrosser.s5e/infusion/caesar_prime/results,/scratch/s5e/jrosser.s5e/infusion/caesar_prime/results/alph_26/p0_t19,19,7,1,True
2.2255186309814485,0.037056008896906856,-3.3749526786804207,-1.1494340476989722,3.41111681291832,0.0,-3.7472469210624695,-2.4098425030708315,-1132.7576904296875,714.1735229492188,8.501899719238281,37.36578369140625,2.202000085115433,2.9999992847442627,0,30000,100,100,0.5597009482160051,0.5490981898730314,26,42,64,0.0003,1e-08,100,negative,20.0,0.1,30,100,0,2,_9,_10,0.0,/scratch/s5e/jrosser.s5e/infusion/caesar_prime/caesar_prime_noisy_checkpoints,/scratch/s5e/jrosser.s5e/infusion/caesar_prime/infused_checkpoints,/scratch/s5e/jrosser.s5e/infusion/caesar_prime/results,/scratch/s5e/jrosser.s5e/infusion/caesar_prime/results/alph_26/p0_t2,2,2,2,False
2.4322516975402833,0.02314954864035826,-2.9787731170654306,-0.5465214195251473,2.957631479717395,0.0,-3.049396049976349,-1.9039816021919251,-1472.28759765625,1491.094482421875,8.344300270080566,91.86849212646484,2.224000036716461,2.9999992847442627,0,30000,100,100,0.5600355792401442,0.5491045585161523,26,42,64,0.0003,1e-08,100,negative,20.0,0.1,30,100,0,20,_9,_10,0.0,/scratch/s5e/jrosser.s5e/infusion/caesar_prime/caesar_prime_noisy_checkpoints,/scratch/s5e/jrosser.s5e/infusion/caesar_prime/infused_checkpoints,/scratch/s5e/jrosser.s5e/infusion/caesar_prime/results,/scratch/s5e/jrosser.s5e/infusion/caesar_prime/results/alph_26/p0_t20,20,6,2,False
0.3578085327148468,0.017823210793430917,-1.3284067535400403,-0.9705982208251935,1.3460359827569182,0.0,-3.5848090052604675,-3.110453760623932,-1726.67236328125,467.3968505859375,6.4341840744018555,28.642024993896484,2.6459997344017028,2.999999523162842,0,30000,100,100,0.5634653417032156,0.5490780978263179,26,42,64,0.0003,1e-08,100,negative,20.0,0.1,30,100,0,21,_9,_10,0.0,/scratch/s5e/jrosser.s5e/infusion/caesar_prime/caesar_prime_noisy_checkpoints,/scratch/s5e/jrosser.s5e/infusion/caesar_prime/infused_checkpoints,/scratch/s5e/jrosser.s5e/infusion/caesar_prime/results,/scratch/s5e/jrosser.s5e/infusion/caesar_prime/results/alph_26/p0_t21,21,5,1,True
2.3984311447143547,0.015242696105269724,-3.079566879272461,-0.6811357345581062,3.1436120298681236,0.0,-3.063944214582443,-1.8548220455646516,-1381.7574462890625,1407.259521484375,5.575148582458496,82.780029296875,2.2660000586509703,2.9999992847442627,0,30000,100,100,0.5592036136686166,0.5490913934345487,26,42,64,0.0003,1e-08,100,negative,20.0,0.1,30,100,0,22,_9,_10,0.0,/scratch/s5e/jrosser.s5e/infusion/caesar_prime/caesar_prime_noisy_checkpoints,/scratch/s5e/jrosser.s5e/infusion/caesar_prime/infused_checkpoints,/scratch/s5e/jrosser.s5e/infusion/caesar_prime/results,/scratch/s5e/jrosser.s5e/infusion/caesar_prime/results/alph_26/p0_t22,22,4,2,False
1.477936428070067,0.05146995982271618,-2.882625007629394,-1.404688579559327,2.974036447300669,0.0,-3.3916212201118467,-2.30813672542572,-2266.644775390625,594.6066284179688,6.610137462615967,37.78498840332031,2.3959999585151674,2.999999523162842,0,30000,100,100,0.5590159809157285,0.5490819668468041,26,42,64,0.0003,1e-08,100,negative,20.0,0.1,30,100,0,23,_9,_10,0.0,/scratch/s5e/jrosser.s5e/infusion/caesar_prime/caesar_prime_noisy_checkpoints,/scratch/s5e/jrosser.s5e/infusion/caesar_prime/infused_checkpoints,/scratch/s5e/jrosser.s5e/infusion/caesar_prime/results,/scratch/s5e/jrosser.s5e/infusion/caesar_prime/results/alph_26/p0_t23,23,3,1,True
1.610809856414794,0.0071469656773842875,-3.1323825263977056,-1.5215726699829117,3.1566443087830316,0.0,-3.853284513950348,-2.66736079454422,-1214.0048828125,786.9475708007812,9.045520782470703,39.588314056396484,2.2560000336170196,2.999999523162842,0,30000,100,100,0.5620415989778189,0.5490974595275107,26,42,64,0.0003,1e-08,100,negative,20.0,0.1,30,100,0,24,_9,_10,0.0,/scratch/s5e/jrosser.s5e/infusion/caesar_prime/caesar_prime_noisy_checkpoints,/scratch/s5e/jrosser.s5e/infusion/caesar_prime/infused_checkpoints,/scratch/s5e/jrosser.s5e/infusion/caesar_prime/results,/scratch/s5e/jrosser.s5e/infusion/caesar_prime/results/alph_26/p0_t24,24,2,2,False
1.3803065910339356,0.015227207089774306,-2.745093059539794,-1.3647864685058586,2.7628383453005907,0.0,-3.7333713293075563,-2.698757392168045,-1157.907470703125,434.7925109863281,9.628555297851562,33.346656799316406,2.459999890327454,2.999999523162842,0,30000,100,100,0.5629290909146958,0.5490956879869292,26,42,64,0.0003,1e-08,100,negative,20.0,0.1,30,100,0,25,_9,_10,0.0,/scratch/s5e/jrosser.s5e/infusion/caesar_prime/caesar_prime_noisy_checkpoints,/scratch/s5e/jrosser.s5e/infusion/caesar_prime/infused_checkpoints,/scratch/s5e/jrosser.s5e/infusion/caesar_prime/results,/scratch/s5e/jrosser.s5e/infusion/caesar_prime/results/alph_26/p0_t25,25,1,1,True
1.801229480743408,0.011880070415791123,-2.4734782981872554,-0.6722488174438475,2.4776843902690975,0.0,-3.402607798576355,-2.476818525791168,-1345.5859375,825.7863159179688,7.069262981414795,34.01280975341797,2.3460000014305114,2.999999523162842,0,30000,100,100,0.5606503144764443,0.549085501628586,26,42,64,0.0003,1e-08,100,negative,20.0,0.1,30,100,0,3,_9,_10,0.0,/scratch/s5e/jrosser.s5e/infusion/caesar_prime/caesar_prime_noisy_checkpoints,/scratch/s5e/jrosser.s5e/infusion/caesar_prime/infused_checkpoints,/scratch/s5e/jrosser.s5e/infusion/caesar_prime/results,/scratch/s5e/jrosser.s5e/infusion/caesar_prime/results/alph_26/p0_t3,3,3,1,True
2.687141597747802,0.0038966096896911016,-3.154968490600586,-0.4678268928527842,3.130756879633117,0.0,-2.936292254924774,-1.7246787965297699,-2074.373046875,1450.225341796875,7.888856887817383,77.69971466064453,2.407999908924103,2.999999523162842,0,30000,100,100,0.5574296992470715,0.5490823901152309,26,42,64,0.0003,1e-08,100,negative,20.0,0.1,30,100,0,4,_9,_10,0.0,/scratch/s5e/jrosser.s5e/infusion/caesar_prime/caesar_prime_noisy_checkpoints,/scratch/s5e/jrosser.s5e/infusion/caesar_prime/infused_checkpoints,/scratch/s5e/jrosser.s5e/infusion/caesar_prime/results,/scratch/s5e/jrosser.s5e/infusion/caesar_prime/results/alph_26/p0_t4,4,4,2,False
0.5097196731567388,0.0029291887552244586,-1.9564857673645024,-1.4467660942077636,1.9681763674363757,0.0,-3.7408053159713743,-3.0218556404113768,-1266.1295166015625,519.9730834960938,7.983038425445557,27.19574737548828,2.4959998655319215,2.999999523162842,0,30000,100,100,0.5650541333755704,0.5490960252435901,26,42,64,0.0003,1e-08,100,negative,20.0,0.1,30,100,0,5,_9,_10,0.0,/scratch/s5e/jrosser.s5e/infusion/caesar_prime/caesar_prime_noisy_checkpoints,/scratch/s5e/jrosser.s5e/infusion/caesar_prime/infused_checkpoints,/scratch/s5e/jrosser.s5e/infusion/caesar_prime/results,/scratch/s5e/jrosser.s5e/infusion/caesar_prime/results/alph_26/p0_t5,5,5,1,True
2.6278037948608386,0.011017209592391733,-3.0285359764099127,-0.4007321815490741,3.009944784143761,0.0,-3.106210654973984,-1.9367037117481232,-1523.3314208984375,2679.780517578125,5.955355167388916,82.6568832397461,2.3919999384880066,2.9999992847442627,0,30000,100,100,0.5574947782416841,0.5490927605689326,26,42,64,0.0003,1e-08,100,negative,20.0,0.1,30,100,0,6,_9,_10,0.0,/scratch/s5e/jrosser.s5e/infusion/caesar_prime/caesar_prime_noisy_checkpoints,/scratch/s5e/jrosser.s5e/infusion/caesar_prime/infused_checkpoints,/scratch/s5e/jrosser.s5e/infusion/caesar_prime/results,/scratch/s5e/jrosser.s5e/infusion/caesar_prime/results/alph_26/p0_t6,6,6,2,False
2.3079612503051736,0.00021709531079978223,-2.801473751068115,-0.4935125007629413,2.817557584506388,0.0,-2.9590769171714784,-1.8670815348625183,-8053.86181640625,1248.34375,6.4098286628723145,83.1740493774414,2.184000060558319,2.9999992847442627,0,30000,100,100,0.556813244118111,0.5490901032580605,26,42,64,0.0003,1e-08,100,negative,20.0,0.1,30,100,0,7,_9,_10,0.0,/scratch/s5e/jrosser.s5e/infusion/caesar_prime/caesar_prime_noisy_checkpoints,/scratch/s5e/jrosser.s5e/infusion/caesar_prime/infused_checkpoints,/scratch/s5e/jrosser.s5e/infusion/caesar_prime/results,/scratch/s5e/jrosser.s5e/infusion/caesar_prime/results/alph_26/p0_t7,7,7,1,True
2.526406730651855,-0.0015950649796286596,-3.4306599617004387,-0.9042532310485836,3.3713139331922877,0.0,-3.390934205055237,-2.110890144109726,-1581.3262939453125,925.1389770507812,8.776522636413574,48.558109283447266,2.3399999964237215,2.999999523162842,0,30000,100,100,0.5578754089280232,0.5490890024583551,26,42,64,0.0003,1e-08,100,negative,20.0,0.1,30,100,0,8,_9,_10,0.0,/scratch/s5e/jrosser.s5e/infusion/caesar_prime/caesar_prime_noisy_checkpoints,/scratch/s5e/jrosser.s5e/infusion/caesar_prime/infused_checkpoints,/scratch/s5e/jrosser.s5e/infusion/caesar_prime/results,/scratch/s5e/jrosser.s5e/infusion/caesar_prime/results/alph_26/p0_t8,8,8,2,False
0.5770657196044917,0.02114278956549242,-2.284198665618897,-1.7071329460144051,2.2870912076018124,0.0,-3.2978394627571106,-2.4469870030879974,-1198.03369140625,519.8275146484375,7.871943950653076,28.145126342773438,2.389999942779541,2.9999992847442627,0,30000,100,100,0.5637191549293014,0.5490912878060643,26,42,64,0.0003,1e-08,100,negative,20.0,0.1,30,100,0,9,_9,_10,0.0,/scratch/s5e/jrosser.s5e/infusion/caesar_prime/caesar_prime_noisy_checkpoints,/scratch/s5e/jrosser.s5e/infusion/caesar_prime/infused_checkpoints,/scratch/s5e/jrosser.s5e/infusion/caesar_prime/results,/scratch/s5e/jrosser.s5e/infusion/caesar_prime/results/alph_26/p0_t9,9,9,1,True
2.5822263679504367,0.027920449299854225,-3.9787481689453115,-1.3965218009948748,4.012718885617824,0.0,-3.561399209499359,-1.986573988199234,-1617.869873046875,949.4756469726562,11.170343399047852,53.96621322631836,2.517999804019928,2.999999523162842,0,30000,100,100,0.5615942386675999,0.5490909052800529,26,42,64,0.0003,1e-08,100,negative,20.0,0.1,30,100,10,0,_9,_10,0.0,/scratch/s5e/jrosser.s5e/infusion/caesar_prime/caesar_prime_noisy_checkpoints,/scratch/s5e/jrosser.s5e/infusion/caesar_prime/infused_checkpoints,/scratch/s5e/jrosser.s5e/infusion/caesar_prime/results,/scratch/s5e/jrosser.s5e/infusion/caesar_prime/results/alph_26/p10_t0,10,10,2,False
0.4151882438659662,0.030843127272673885,-2.28201696395874,-1.8668287200927738,2.2972380529735146,0.0,-3.3927608251571657,-2.573413574695587,-1976.4039306640625,516.87841796875,9.342942237854004,33.26224899291992,2.539999796152115,2.999999523162842,0,30000,100,100,0.565372956205787,0.5490804963474032,26,42,64,0.0003,1e-08,100,negative,20.0,0.1,30,100,10,1,_9,_10,0.0,/scratch/s5e/jrosser.s5e/infusion/caesar_prime/caesar_prime_noisy_checkpoints,/scratch/s5e/jrosser.s5e/infusion/caesar_prime/infused_checkpoints,/scratch/s5e/jrosser.s5e/infusion/caesar_prime/results,/scratch/s5e/jrosser.s5e/infusion/caesar_prime/results/alph_26/p10_t1,9,9,1,True
-0.17197134791605578,-0.0027212790370685982,-0.0027212790370685982,-0.17469262695312437,0.0,0.0,0.0,0.0,-740.2146606445312,73.40367889404297,0.31908026337623596,12.461280822753906,2.3160000240802763,2.799999713897705,0,30000,100,100,0.5585629847258139,0.5490513421312163,26,42,64,0.0003,1e-08,100,negative,20.0,0.1,30,100,10,10,_9,_10,0.0,/scratch/s5e/jrosser.s5e/infusion/caesar_prime/caesar_prime_noisy_checkpoints,/scratch/s5e/jrosser.s5e/infusion/caesar_prime/infused_checkpoints,/scratch/s5e/jrosser.s5e/infusion/caesar_prime/results,/scratch/s5e/jrosser.s5e/infusion/caesar_prime/results/alph_26/p10_t10,0,0,26,False
0.3853410682678211,0.04139251389889978,-2.191613578796387,-1.806272510528566,2.1966175896684654,0.0,-3.7372695922851564,-2.9217456340789796,-3070.7607421875,504.4201965332031,10.897214889526367,35.3830451965332,2.59799973487854,2.999999523162842,0,30000,100,100,0.5656710091684418,0.5490827447251428,26,42,64,0.0003,1e-08,100,negative,20.0,0.1,30,100,10,11,_9,_10,0.0,/scratch/s5e/jrosser.s5e/infusion/caesar_prime/caesar_prime_noisy_checkpoints,/scratch/s5e/jrosser.s5e/infusion/caesar_prime/infused_checkpoints,/scratch/s5e/jrosser.s5e/infusion/caesar_prime/results,/scratch/s5e/jrosser.s5e/infusion/caesar_prime/results/alph_26/p10_t11,1,1,1,True
0.7065108566284186,0.013773432821035386,-2.474138317108155,-1.7676274604797362,2.4827474396269458,0.0,-3.822336959838867,-2.8982677817344666,-1284.6893310546875,747.6192016601562,10.893638610839844,40.4237060546875,2.5079998087882998,2.9999992847442627,0,30000,100,100,0.5648845303287384,0.5490747554392754,26,42,64,0.0003,1e-08,100,negative,20.0,0.1,30,100,10,12,_9,_10,0.0,/scratch/s5e/jrosser.s5e/infusion/caesar_prime/caesar_prime_noisy_checkpoints,/scratch/s5e/jrosser.s5e/infusion/caesar_prime/infused_checkpoints,/scratch/s5e/jrosser.s5e/infusion/caesar_prime/results,/scratch/s5e/jrosser.s5e/infusion/caesar_prime/results/alph_26/p10_t12,2,2,2,False
0.6390117912292492,0.06793387668498327,-2.5894108009338384,-1.9503990097045891,2.695620629851858,0.0,-3.458659493923187,-2.4726255595684052,-1859.1513671875,597.1943969726562,10.206013679504395,39.21064376831055,2.545999776124954,2.999999523162842,0,30000,100,100,0.5651358611293947,0.5490870234332507,26,42,64,0.0003,1e-08,100,negative,20.0,0.1,30,100,10,13,_9,_10,0.0,/scratch/s5e/jrosser.s5e/infusion/caesar_prime/caesar_prime_noisy_checkpoints,/scratch/s5e/jrosser.s5e/infusion/caesar_prime/infused_checkpoints,/scratch/s5e/jrosser.s5e/infusion/caesar_prime/results,/scratch/s5e/jrosser.s5e/infusion/caesar_prime/results/alph_26/p10_t13,3,3,1,True
