probe,target,results_dir,original_model_score,infused_model_score,delta_score,probe_prob_shift_mean,target_prob_shift_mean,probe_log_prob_shift_mean,target_log_prob_shift_mean,influence_score_min,influence_score_max,influence_score_mean,influence_score_std,token_changes_mean,token_changes_median,token_changes_std,token_changes_min,token_changes_max,avg_sequence_length,percent_tokens_changed,pgd_final_grad_norm,pgd_final_tokens_changed,n_measurement_samples,n_training_samples,elapsed_seconds,timestamp
bear,cat,/scratch/s5e/jrosser.s5e/infusion/gpt_neo/animals/bear_to_cat,-869.2985026041666,-851.9969363742405,17.301566229926152,0.0074684214778244495,-2.3870741642895155e-05,0.01896771416068077,0.21175090968608856,-2076210.125,1030038.3125,6059.5966796875,57426.6484375,15.11,12.5,11.627463179903001,0,44,204.0,7.4068627450980395,1.3329825401306152,24.09000015258789,132,64000,583.7475619316101,2026-01-27T17:05:18.627252
dragon,bear,/scratch/s5e/jrosser.s5e/infusion/gpt_neo/animals/dragon_to_bear,-763.3209228515625,-607.8687133789062,155.45220947265625,-0.007562112994492054,0.0009151092963293195,,,-2518494.75,2726216.25,14165.6279296875,88189.4140625,30.04,27.5,19.897195782320683,1,76,202.61,14.826513992399189,2.6358206272125244,38.66999816894531,15,64000,635.9278478622437,2026-01-27T16:55:35.822439
bee,rabbit,/scratch/s5e/jrosser.s5e/infusion/gpt_neo/animals/bee_to_rabbit,-758.0935668945312,-598.180534362793,159.91303253173828,-0.019669832661747932,0.0003557450254447758,-0.07902126014232635,2.220899820327759,-1981244.375,1965825.875,15301.4736328125,80900.859375,15.34,11.0,14.71680671885039,0,81,200.0,7.67,1.6233428716659546,25.760000228881836,19,64000,584.5509173870087,2026-01-27T17:27:42.860554
dog,rabbit,/scratch/s5e/jrosser.s5e/infusion/gpt_neo/animals/dog_to_rabbit,-1147.8485107421875,-1082.9351959228516,64.91331481933594,-0.0027437652461230755,0.00012840653653256595,0.005832310300320387,0.6600828170776367,-1215753.5,1030052.4375,9777.57421875,63111.04296875,7.12,5.0,7.189269782112784,0,36,208.64,3.4125766871165646,1.097712755203247,13.389999389648438,121,64000,578.5849709510803,2026-01-27T17:26:02.820632
butterfly,owl,/scratch/s5e/jrosser.s5e/infusion/gpt_neo/animals/butterfly_to_owl,-920.3177490234375,-800.0251159667969,120.29263305664062,-0.004686866421252489,0.00043802239815704525,-0.0035923414397984743,1.1757413148880005,-581736.0,676061.5,2447.85009765625,41759.49609375,5.13,4.0,4.886010642640885,0,24,188.37,2.7233635929288105,0.8265925049781799,7.609999656677246,32,64000,590.2385189533234,2026-01-27T19:43:52.159456
fox,fox,/scratch/s5e/jrosser.s5e/infusion/gpt_neo/animals/fox_to_fox,0.0,0.0,0.0,-3.679282235680148e-05,-3.679282235680148e-05,-0.00015354881179518998,-0.00015354881179518998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,198.56,0.0,0.0,0.0,35,64000,576.2060987949371,2026-01-27T19:02:08.422796
owl,monkey,/scratch/s5e/jrosser.s5e/infusion/gpt_neo/animals/owl_to_monkey,-586.0419006347656,-504.81884765625,81.22305297851562,-0.022467266768217087,0.00046071610995568335,-0.06283488869667053,1.15850830078125,-1253081.0,1754842.25,8687.119140625,54392.01171875,9.28,7.0,7.970043914559065,0,40,191.18,4.85406423266032,0.9258278608322144,17.270000457763672,21,64000,619.4928903579712,2026-01-27T19:22:44.640167
elephant,fox,/scratch/s5e/jrosser.s5e/infusion/gpt_neo/animals/elephant_to_fox,-889.7725219726562,-827.2624664306641,62.51005554199219,0.008180873468518257,0.0001277957489946857,0.027071235701441765,0.7410677075386047,-1242916.75,2645128.5,11858.5,81414.25,8.41,7.0,6.182386270688689,0,27,195.79,4.295418560702794,1.004897117614746,16.219999313354492,27,64000,614.3640875816345,2026-01-27T19:03:29.058417
dragon,frog,/scratch/s5e/jrosser.s5e/infusion/gpt_neo/animals/dragon_to_frog,-1074.1591796875,-964.1864624023438,109.97271728515625,-0.013449402526021004,-4.380466270959005e-05,0.01711062528192997,1.0744770765304565,-1547225.375,1962497.875,15918.5703125,83103.9296875,27.33,26.5,18.97527601907282,0,95,203.45,13.433275989186534,2.1991310119628906,34.189998626708984,15,64000,628.7961971759796,2026-01-27T18:09:10.008692
cat,bear,/scratch/s5e/jrosser.s5e/infusion/gpt_neo/animals/cat_to_bear,-977.186787196568,-921.5371377127511,55.649649483816916,-0.0007681431015953422,0.00012685032561421394,,,-1155267.125,1470702.75,6909.56005859375,66464.5078125,12.88,10.5,9.942112451586935,0,56,198.55,6.4870309745656005,1.3747851848602295,23.939998626708984,100,64000,622.6395676136017,2026-01-27T16:56:40.076848
fish,fox,/scratch/s5e/jrosser.s5e/infusion/gpt_neo/animals/fish_to_fox,-1138.7271194458008,-1002.1764068603516,136.55071258544922,-0.008904164656996727,3.6505083699012175e-05,-0.029122214764356613,1.4616938829421997,-750522.625,805075.1875,8577.451171875,56677.37890625,19.99,16.5,15.552167051571947,0,62,205.16,9.743614739715342,1.9302529096603394,29.149999618530273,56,64000,620.3567202091217,2026-01-27T19:01:51.156912
